мне девятнадцать лет .	i m .
со мной всё в порядке .	i m ok .
у меня всё хорошо .	i m ok .
у меня всё в порядке .	i m ok .
я плохая .	i m bad .
я толстый .	i m fat .
я толстая .	i m fat .
меня ударили !	i m hit !
мне жарко .	i m hot .
я болен .	i m ill .
я болею .	i m ill .
я больна .	i m ill .
я сумасшедший .	i m mad .
я злюсь .	i m mad .
я новенькая .	i m new .
я старый .	i m old .
я старая .	i m old .
мне грустно .	i m sad .
я стесняюсь .	i m shy .
я стеснительный .	i m shy .
я стеснительная .	i m shy .
я застенчивый .	i m shy .
я застенчивая .	i m shy .
я робкий .	i m shy .
я робкая .	i m shy .
я стеснителен .	i m shy .
я стеснительна .	i m shy .
я мокрый .	i m wet .
он мокрый .	he s wet .
мне жарко .	i am hot .
я старый .	i am old .
я старая .	i am old .
я стар .	i am old .
я диджей .	i m a dj .
я вернулся .	i m back .
я лысый .	i m bald .
я лысая .	i m bald .
я занят .	i m busy .
я занята .	i m busy .
я спокойна .	i m calm .
мне холодно .	i m cold .
я замёрз .	i m cold .
я замёрзла .	i m cold .
я классный .	i m cool .
я классная .	i m cool .
я крут .	i m cool .
я клёвая .	i m cool .
я глухая .	i m deaf .
я закончил .	i m done .
меня не волнует .	i m easy .
я честный .	i m fair .
я быстрый .	i m fast .
я быстрая .	i m fast .
со мной всё в порядке .	i m fine .
я в порядке .	i m fine .
я свободна !	i m free !
я свободен !	i m free !
я свободна .	i m free .
я наелся .	i m full .
я наелась .	i m full .
я рад .	i m glad .
я рада .	i m glad .
я здесь .	i m here .
я тут .	i m here .
я под кайфом .	i m high .
я дома .	i m home .
я травмирован .	i m hurt .
я травмирована .	i m hurt .
я последняя .	i m last .
я опоздал .	i m late .
я опоздала .	i m late .
я опаздываю .	i m late .
я ленивый .	i m lazy .
я лентяй .	i m lazy .
я ленивая .	i m lazy .
я заблудился .	i m lost .
я заблудилась .	i m lost .
я подлый .	i m mean .
я вредный .	i m mean .
я зловредный .	i m mean .
я злой .	i m mean .
я злая .	i m mean .
я аккуратный .	i m neat .
я аккуратная .	i m neat .
я следующий .	i m next .
я немой .	i m numb .
я немая .	i m numb .
у меня всё хорошо .	i m okay .
я в порядке .	i m okay .
у меня всё в порядке .	i m okay .
я богат .	i m rich .
я богата .	i m rich .
я богатая .	i m rich .
я богатый .	i m rich .
я болен .	i m sick .
я болею .	i m sick .
я больна .	i m sick .
я медлительный .	i m slow .
я медленный .	i m slow .
я медленная .	i m slow .
я медлительная .	i m slow .
я уверена .	i m sure .
я убеждён .	i m sure .
я высокий .	i m tall .
я высокая .	i m tall .
я худой .	i m thin .
я опрятный .	i m tidy .
я опрятная .	i m tidy .
я уродина .	i m ugly .
я безобразен .	i m ugly .
я безобразна .	i m ugly .
мне тепло .	i m warm .
я слаб .	i m weak .
я слаба .	i m weak .
я слабый .	i m weak .
я слабая .	i m weak .
со мной всё хорошо .	i m well .
я умный .	i m wise .
мы в порядке .	we re ok .
он болен .	he is ill .
он болеет .	he is ill .
он диджей .	he s a dj .
он занят .	he s busy .
он мой .	he s mine .
он богатый .	he s rich .
он богат .	he s rich .
я занят .	i am busy .
я занята .	i am busy .
я спокойна .	i am calm .
мне холодно .	i am cold .
я замёрз .	i am cold .
я замёрзла .	i am cold .
я в порядке .	i am fine .
я сыт .	i am full .
я наелась .	i am full .
я хороший .	i am good .
я хорошая .	i am good .
я здесь .	i am here .
я тут .	i am here .
я ленивый .	i am lazy .
я лентяй .	i am lazy .
я ленивая .	i am lazy .
со мной всё в порядке .	i am okay .
у меня всё хорошо .	i am okay .
я в порядке .	i am okay .
у меня всё в порядке .	i am okay .
я болен .	i am sick .
мне дурно .	i am sick .
я болею .	i am sick .
я больна .	i am sick .
я уверена .	i am sure .
я убеждён .	i am sure .
я высокий .	i am tall .
я высокая .	i am tall .
я слабый .	i am weak .
я слабая .	i am weak .
у меня всё хорошо .	i am well .
я в порядке .	i am well .
я дипломированный бухгалтер .	i m a cpa .
я полицейская .	i m a cop .
я фанат .	i m a fan .
я фанатка .	i m a fan .
я мужчина .	i m a man .
я человек .	i m a man .
я мужик .	i m a man .
я профи .	i m a pro .
я жив .	i m alive .
я жива .	i m alive .
я живой .	i m alive .
я живая .	i m alive .
я один .	i m alone .
я одна .	i m alone .
я в одиночестве .	i m alone .
я зол .	i m angry .
я зла .	i m angry .
я злюсь .	i m angry .
я разозлён .	i m angry .
я разозлена .	i m angry .
я вооружён .	i m armed .
я вооружена .	i m armed .
я вооружен .	i m armed .
я проснулся .	i m awake .
я бодрствую .	i m awake .
я не сплю .	i m awake .
я слепая .	i m blind .
я слепой .	i m blind .
я властный .	i m bossy .
я властная .	i m bossy .
я храбрый .	i m brave .
я храбрая .	i m brave .
я смелый .	i m brave .
я смелая .	i m brave .
я отважный .	i m brave .
я отважная .	i m brave .
я на нуле .	i m broke .
я на мели .	i m broke .
я чистый .	i m clean .
я чистая .	i m clean .
я псих .	i m crazy .
я сумасшедший .	i m crazy .
я сумасшедшая .	i m crazy .
я излечен .	i m cured .
меня вылечили .	i m cured .
я излечена .	i m cured .
я пьян .	i m drunk .
я пьяна .	i m drunk .
я пьяная .	i m drunk .
я умираю .	i m dying .
я рано .	i m early .
я первый .	i m first .
я первая .	i m first .
я придирчивый .	i m fussy .
я придирчивая .	i m fussy .
я ухожу .	i m going .
я иду .	i m going .
я доволен .	i m happy .
я любим .	i m loved .
я любима .	i m loved .
меня любят .	i m loved .
я везучий .	i m lucky .
я удачлив .	i m lucky .
я удачлива .	i m lucky .
вру .	i m lying .
я лежу .	i m lying .
я лгу .	i m lying .
я вру .	i m lying .
я наивный .	i m naive .
я наивная .	i m naive .
я раздетый .	i m naked .
я голый .	i m naked .
я голая .	i m naked .
я нуждаюсь .	i m needy .
я в нужде .	i m needy .
я жирный .	i m obese .
я разборчивый .	i m picky .
я разборчивая .	i m picky .
я довольно толстый .	i m pudgy .
я довольно толстая .	i m pudgy .
я тихий .	i m quiet .
я готова !	i m ready !
я готов !	i m ready !
я готов .	i m ready .
я прав .	i m right .
я невысокая .	i m short .
я низкий .	i m short .
я низкая .	i m short .
я маленький .	i m small .
я маленькая .	i m small .
я умная .	i m smart .
я трезв .	i m sober .
я трезвый .	i m sober .
я трезвая .	i m sober .
я трезва .	i m sober .
извините .	i m sorry .
я извиняюсь .	i m sorry .
извините . . .	i m sorry .
мне жаль .	i m sorry .
сожалею .	i m sorry .
сожалею !	i m sorry .
я в тупике .	i m stuck .
я напряжен .	i m tense .
я напряжена .	i m tense .
я робкий .	i m timid .
я подвыпивший .	i m tipsy .
я подвыпившая .	i m tipsy .
я навеселе .	i m tipsy .
я устал !	i m tired .
я устала !	i m tired .
я устала .	i m tired .
я крутой .	i m tough .
я крутая .	i m tough .
я расстроен .	i m upset .
я расстроена .	i m upset .
я огорчён .	i m upset .
я огорчена .	i m upset .
я неправ .	i m wrong .
я неправа .	i m wrong .
я молод .	i m young .
я молодой .	i m young .
я молодая .	i m young .
я твой .	i m yours .
я ваш .	i m yours .
я твой .	i m yours .
я твоя .	i m yours .
нам жарко .	we re hot .
мы застенчивы .	we re shy .
мы робкие .	we re shy .
мы застенчивые .	we re shy .
он диджей .	he is a dj .
он здесь !	he is here !
он добрый .	he is kind .
